	Red				Blue		Gold				Silver	
6	Dragonite's Darlings	Smeargle Wizard Money Gang	Dragonite's Darlings	El Kec Kecleons	Killerfox’s Rare Candies	El Kec Kecleons	Sootopolis Sableyes	Paldean Porygons	Sootopolis Sableyes	Syracuse Stormclouds	Cherrim Coke II	Syracuse Stormclouds
6	McFeeds Mareeps	Raging Regis	McFeeds Mareeps	Turtwig's Tax Evaders	Fortress Forretress	Turtwig's Tax Evaders	Relic Castle Royals	Ardougne Splash Squad	Relic Castle Royals	Maj0r Mudkip	Big Booty Bronzongs	Maj0r Mudkip
6	Definitely Not Moist Esports	 Varrock Volcaronas	Definitely Not Moist Esports	Kentucky Crobats	The Gardevoir Guardians	Kentucky Crobats	Water's Woopers	Philadelphia Phanpys	Water's Woopers	Eqqcadrills 	Sanserino Sandiles	Eqqcadrills 
6												
6												
6												
6												
7	San Antonio Spoinks	Dragonite's Darlings	San Antonio Spoinks	Killerfox’s Rare Candies	Pengu's Allegiant Poketmons	Killerfox’s Rare Candies	Strictttttttt's Ttttttttttteam 	Sootopolis Sableyes	Strictttttttt's Ttttttttttteam 	Cherrim Coke II	Michigan Moshers	Cherrim Coke II
7	Juuling Jumpluffs	Smeargle Wizard Money Gang	Juuling Jumpluffs	El Kec Kecleons	Alolan Raichu Defense Force	El Kec Kecleons	Easton's Starmies	Paldean Porygons	Easton's Starmies	Syracuse Stormclouds	Cheongseolmo's Skwovets	Syracuse Stormclouds
7	McFeeds Mareeps	Definitely Not Moist Esports	McFeeds Mareeps	The Gardevoir Guardians	Fortress Forretress	The Gardevoir Guardians	Relic Castle Royals	Water's Woopers	Relic Castle Royals	Sanserino Sandiles	Big Booty Bronzongs	Sanserino Sandiles
7	Raging Regis	 Varrock Volcaronas	Raging Regis	Kentucky Crobats	Turtwig's Tax Evaders	Kentucky Crobats	Ardougne Splash Squad	Philadelphia Phanpys	Ardougne Splash Squad	Eqqcadrills 	Maj0r Mudkip	Eqqcadrills 
7												
7												
7												
7												
8												
8												
8												
8												
8												
8												
8												
8												
